mem: 140737129891833, val: 1
mem: 140737129891832, val: 200
mem: 140737129891831, val: 0
mem: 140737129891830, val: 0
mem: 140737129891829, val: 127
mem: 140737129891828, val: 43
mem: 140737129891827, val: 250
mem: 140737129891826, val: 2
mem: 140737129891825, val: 155
mem: 140737129891824, val: 137
mem: 140737129891823, val: 0
mem: 140737129891822, val: 0
mem: 140737129891821, val: 127
mem: 140737129891820, val: 43
mem: 140737129891819, val: 250
mem: 140737129891818, val: 0
mem: 140737129891817, val: 84
mem: 140737129891816, val: 3
mem: 140737129891815, val: 0
mem: 140737129891814, val: 0
mem: 140737129891813, val: 127
mem: 140737129891812, val: 43
mem: 140737129891811, val: 250
mem: 140737129891810, val: 2
mem: 140737129891809, val: 155
mem: 140737129891808, val: 137
mem: 140737129891807, val: 0
mem: 140737129891806, val: 0
mem: 140737129891805, val: 127
mem: 140737129891804, val: 43
mem: 140737129891803, val: 250
mem: 140737129891802, val: 0
mem: 140737129891801, val: 84
mem: 140737129891800, val: 3
mem: 140737129891799, val: 0
mem: 140737129891798, val: 0
mem: 140737129891797, val: 127
mem: 140737129891796, val: 255
mem: 140737129891795, val: 234
mem: 140737129891794, val: 162
mem: 140737129891793, val: 72
mem: 140737129891792, val: 236
mem: 140737129891791, val: 0
mem: 140737129891790, val: 0
mem: 140737129891789, val: 127
mem: 140737129891788, val: 255
mem: 140737129891787, val: 234
mem: 140737129891786, val: 162
mem: 140737129891785, val: 72
mem: 140737129891784, val: 236
mem: 140737129891783, val: 0
mem: 140737129891782, val: 0
mem: 140737129891781, val: 127
mem: 140737129891780, val: 255
mem: 140737129891779, val: 234
mem: 140737129891778, val: 162
mem: 140737129891777, val: 73
mem: 140737129891776, val: 80
mem: 140737129891775, val: 0
mem: 140737129891774, val: 0
mem: 140737129891773, val: 127
mem: 140737129891772, val: 255
mem: 140737129891771, val: 234
mem: 140737129891770, val: 162
mem: 140737129891769, val: 73
mem: 140737129891768, val: 80
mem: 140737129891767, val: 0
mem: 140737129891766, val: 0
mem: 140737129891765, val: 0
mem: 140737129891764, val: 0
mem: 140737129891763, val: 0
mem: 140737129891762, val: 0
mem: 140737129891761, val: 1
mem: 140737129891760, val: 128
mem: 140737129891759, val: 0
mem: 140737129891758, val: 0
mem: 140737129891757, val: 127
mem: 140737129891756, val: 43
mem: 140737129891755, val: 250
mem: 140737129891754, val: 0
mem: 140737129891753, val: 81
mem: 140737129891752, val: 252
mem: 140737129891751, val: 0
mem: 140737129891750, val: 0
mem: 140737129891749, val: 0
mem: 140737129891748, val: 0
mem: 140737129891747, val: 0
mem: 140737129891746, val: 0
mem: 140737129891745, val: 0
mem: 140737129891744, val: 0
mem: 140737129891743, val: 0
mem: 140737129891742, val: 0
mem: 140737129891741, val: 127
mem: 140737129891740, val: 255
mem: 140737129891739, val: 242
mem: 140737129891738, val: 53
mem: 140737129891737, val: 128
mem: 140737129891736, val: 0
mem: 140737129891735, val: 0
mem: 140737129891734, val: 0
mem: 140737129891733, val: 127
mem: 140737129891732, val: 255
mem: 140737129891731, val: 242
mem: 140737129891730, val: 181
mem: 140737129891729, val: 108
mem: 140737129891728, val: 128
mem: 140737129891727, val: 0
mem: 140737129891726, val: 0
mem: 140737129891725, val: 127
mem: 140737129891724, val: 43
mem: 140737129891723, val: 249
mem: 140737129891722, val: 244
mem: 140737129891721, val: 0
mem: 140737129891720, val: 0
mem: 140737129891719, val: 0
mem: 140737129891718, val: 0
mem: 140737129891717, val: 0
mem: 140737129891716, val: 0
mem: 140737129891715, val: 0
mem: 140737129891714, val: 0
mem: 140737129891713, val: 0
mem: 140737129891712, val: 1
mem: 140737129891711, val: 0
mem: 140737129891710, val: 0
mem: 140737129891709, val: 127
mem: 140737129891708, val: 255
mem: 140737129891707, val: 242
mem: 140737129891706, val: 181
mem: 140737129891705, val: 108
mem: 140737129891704, val: 80
mem: 140737129891703, val: 0
mem: 140737129891702, val: 0
mem: 140737129891701, val: 0
mem: 140737129891700, val: 0
mem: 140737129891699, val: 0
mem: 140737129891698, val: 0
mem: 140737129891697, val: 0
mem: 140737129891696, val: 3
mem: 140737129891695, val: 0
mem: 140737129891694, val: 0
mem: 140737129891693, val: 0
mem: 140737129891692, val: 32
mem: 140737129891691, val: 0
mem: 140737129891690, val: 0
mem: 140737129891689, val: 0
mem: 140737129891688, val: 0
mem: 140737129891687, val: 0
mem: 140737129891686, val: 0
mem: 140737129891685, val: 0
mem: 140737129891684, val: 0
mem: 140737129891683, val: 0
mem: 140737129891682, val: 0
mem: 140737129891681, val: 0
mem: 140737129891680, val: 2
mem: 140737129891679, val: 0
mem: 140737129891678, val: 0
mem: 140737129891677, val: 127
mem: 140737129891676, val: 255
mem: 140737129891675, val: 234
mem: 140737129891674, val: 162
mem: 140737129891673, val: 73
mem: 140737129891672, val: 144
mem: 140737129891671, val: 0
mem: 140737129891670, val: 0
mem: 140737129891669, val: 127
mem: 140737129891668, val: 255
mem: 140737129891667, val: 234
mem: 140737129891666, val: 162
mem: 140737129891665, val: 73
mem: 140737129891664, val: 176
mem: 140737129891663, val: 0
mem: 140737129891662, val: 0
mem: 140737129891661, val: 127
mem: 140737129891660, val: 255
mem: 140737129891659, val: 234
mem: 140737129891658, val: 162
mem: 140737129891657, val: 73
mem: 140737129891656, val: 144
mem: 140737129891655, val: 0
mem: 140737129891654, val: 0
mem: 140737129891653, val: 127
mem: 140737129891652, val: 43
mem: 140737129891651, val: 250
